engine.cpp( 83:16 ): Rotation: pitch: 0, yaw: -0, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.04193965, yaw: 0.1785671, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.04193965, yaw: 0.1785671, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.041415595, yaw: 0.17804304, roll: -2.3657032e-10
engine.cpp( 83:16 ): Rotation: pitch: -0.03973943, yaw: 0.17552881, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.03869573, yaw: 0.17239769, roll: 2.36334e-10
engine.cpp( 83:16 ): Rotation: pitch: -0.037386157, yaw: 0.16689748, roll: -2.3611144e-10
engine.cpp( 83:16 ): Rotation: pitch: -0.03570812, yaw: 0.15850727, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.03431138, yaw: 0.15068556, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.033001907, yaw: 0.14597145, roll: -2.3533342e-10
engine.cpp( 83:16 ): Rotation: pitch: -0.031051867, yaw: 0.1429071, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.029476168, yaw: 0.14106879, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.027648129, yaw: 0.13976306, roll: -1.1756165e-10
engine.cpp( 83:16 ): Rotation: pitch: -0.024571761, yaw: 0.13948338, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.0181522, yaw: 0.13864604, roll: 1.1754327e-10
engine.cpp( 83:16 ): Rotation: pitch: -0.013961762, yaw: 0.13836665, roll: -5.8769344e-11
engine.cpp( 83:16 ): Rotation: pitch: -0.010047631, yaw: 0.13836667, roll: 5.8769344e-11
engine.cpp( 83:16 ): Rotation: pitch: -0.001088759, yaw: 0.14004648, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: 0.0039220187, yaw: 0.14283022, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: 0.00921744, yaw: 0.1467321, roll: 5.8839954e-11
engine.cpp( 83:16 ): Rotation: pitch: 0.01621233, yaw: 0.15344721, roll: -1.1779944e-10
engine.cpp( 83:16 ): Rotation: pitch: 0.025159527, yaw: 0.16379242, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: 0.034921642, yaw: 0.17662263, roll: 2.3651006e-10
engine.cpp( 83:16 ): Rotation: pitch: 0.047785327, yaw: 0.19479957, roll: 4.7463833e-10
engine.cpp( 83:16 ): Rotation: pitch: 0.063686125, yaw: 0.21683751, roll: 4.7682724e-10
engine.cpp( 83:16 ): Rotation: pitch: 0.078084506, yaw: 0.23490092, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: 0.09536009, yaw: 0.25468427, roll: 9.623657e-10
engine.cpp( 83:16 ): Rotation: pitch: 0.11409761, yaw: 0.27509978, roll: -1.9354205e-09
engine.cpp( 83:16 ): Rotation: pitch: 0.12947772, yaw: 0.29243737, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: 0.14412431, yaw: 0.31074563, roll: -1.9563426e-09
engine.cpp( 83:16 ): Rotation: pitch: 0.15809682, yaw: 0.33198377, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: 0.16856803, yaw: 0.3539733, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: 0.17554528, yaw: 0.3771378, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: 0.17902349, yaw: 0.40014747, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: 0.17874347, yaw: 0.42394936, roll: 4.087117e-09
engine.cpp( 83:16 ): Rotation: pitch: 0.17455831, yaw: 0.44461352, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: 0.16422449, yaw: 0.47170484, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: 0.15506396, yaw: 0.48767036, roll: -4.216863e-09
engine.cpp( 83:16 ): Rotation: pitch: 0.13857251, yaw: 0.506957, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: 0.11948305, yaw: 0.52160096, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: 0.104539216, yaw: 0.5293307, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: 0.082705095, yaw: 0.53940785, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: 0.057553664, yaw: 0.5475122, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: 0.035886217, yaw: 0.5513519, roll: 1.0933363e-09
engine.cpp( 83:16 ): Rotation: pitch: 0.012803421, yaw: 0.55080235, roll: -2.732418e-10
engine.cpp( 83:16 ): Rotation: pitch: -0.016030822, yaw: 0.5414656, roll: -5.43391e-10
engine.cpp( 83:16 ): Rotation: pitch: -0.040899843, yaw: 0.5249793, roll: 1.0762575e-09
engine.cpp( 83:16 ): Rotation: pitch: -0.06385346, yaw: 0.50256574, roll: 1.0627293e-09
engine.cpp( 83:16 ): Rotation: pitch: -0.08274924, yaw: 0.474222, roll: 2.0936872e-09
engine.cpp( 83:16 ): Rotation: pitch: -0.10537411, yaw: 0.43260348, roll: -2.0516486e-09
engine.cpp( 83:16 ): Rotation: pitch: -0.12348064, yaw: 0.39044502, roll: -2.014237e-09
engine.cpp( 83:16 ): Rotation: pitch: -0.13800235, yaw: 0.34101543, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.15139881, yaw: 0.27598658, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.15900096, yaw: 0.22775257, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.16593178, yaw: 0.16287994, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.1693451, yaw: 0.112467684, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.17014469, yaw: 0.07062124, roll: 4.668249e-10
engine.cpp( 83:16 ): Rotation: pitch: -0.1681882, yaw: 0.033446975, roll: 2.3296096e-10
engine.cpp( 83:16 ): Rotation: pitch: -0.16130324, yaw: 0.00067470217, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.1524092, yaw: -0.015805464, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.13844384, yaw: -0.025581203, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.12329005, yaw: -0.028977737, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.103713036, yaw: -0.027579384, roll: -1.1645962e-10
engine.cpp( 83:16 ): Rotation: pitch: -0.07326708, yaw: -0.017803157, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.040562652, yaw: -0.0038269078, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: 0.00027831268, yaw: 0.015776755, roll: -2.2740197e-13
engine.cpp( 83:16 ): Rotation: pitch: 0.041730482, yaw: 0.03515699, roll: -5.8243646e-11
engine.cpp( 83:16 ): Rotation: pitch: 0.07375401, yaw: 0.04768794, roll: 1.1654781e-10
engine.cpp( 83:16 ): Rotation: pitch: 0.11418972, yaw: 0.05605395, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: 0.1356889, yaw: 0.05631613, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: 0.16032642, yaw: 0.051074106, roll: -4.662693e-10
engine.cpp( 83:16 ): Rotation: pitch: 0.18636306, yaw: 0.037778806, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: 0.21170993, yaw: 0.015600291, roll: -1.1642948e-10
engine.cpp( 83:16 ): Rotation: pitch: 0.22873732, yaw: -0.0053350194, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: 0.24258912, yaw: -0.028072845, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: 0.25739124, yaw: -0.063821435, roll: 9.332224e-10
engine.cpp( 83:16 ): Rotation: pitch: 0.26830444, yaw: -0.1069145, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: 0.2727544, yaw: -0.14199047, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: 0.27355722, yaw: -0.18427444, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: 0.27048168, yaw: -0.23068775, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: 0.26042706, yaw: -0.32983732, roll: -3.9375436e-09
engine.cpp( 83:16 ): Rotation: pitch: 0.25275823, yaw: -0.37303844, roll: 4.0004227e-09
engine.cpp( 83:16 ): Rotation: pitch: 0.23268948, yaw: -0.46892244, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: 0.19936803, yaw: -0.608217, roll: 4.5393387e-09
engine.cpp( 83:16 ): Rotation: pitch: 0.18326287, yaw: -0.6500906, roll: -4.6798414e-09
engine.cpp( 83:16 ): Rotation: pitch: 0.16399023, yaw: -0.6907772, roll: -4.8333244e-09
engine.cpp( 83:16 ): Rotation: pitch: 0.14050028, yaw: -0.731475, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: 0.11685787, yaw: -0.7632795, roll: 5.1555915e-09
engine.cpp( 83:16 ): Rotation: pitch: 0.09450691, yaw: -0.7856306, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: 0.070257165, yaw: -0.8012393, roll: 2.6769185e-09
engine.cpp( 83:16 ): Rotation: pitch: 0.02410214, yaw: -0.82326806, roll: 1.3699382e-09
engine.cpp( 83:16 ): Rotation: pitch: 0.0029662042, yaw: -0.82458913, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.027980324, yaw: -0.81829023, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.060001757, yaw: -0.80452657, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.0962012, yaw: -0.7789905, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.12553903, yaw: -0.7496526, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.1532563, yaw: -0.71069163, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.18036532, yaw: -0.65842986, roll: 4.7098703e-09
engine.cpp( 83:16 ): Rotation: pitch: -0.20326273, yaw: -0.5975562, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.21869385, yaw: -0.5342624, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.24404404, yaw: -0.40616304, roll: -4.055207e-09
engine.cpp( 83:16 ): Rotation: pitch: -0.24823174, yaw: -0.33385593, roll: 3.943e-09
engine.cpp( 83:16 ): Rotation: pitch: -0.24851145, yaw: -0.26923937, roll: -3.8645154e-09
engine.cpp( 83:16 ): Rotation: pitch: -0.24488911, yaw: -0.21351135, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.23902187, yaw: -0.17104371, roll: 1.8902282e-09
engine.cpp( 83:16 ): Rotation: pitch: -0.23168851, yaw: -0.14066266, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.21492577, yaw: -0.08775519, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.18379296, yaw: -0.011590972, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.16760063, yaw: 0.00348462, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.14973341, yaw: 0.015579368, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.12713005, yaw: 0.028973944, roll: 1.164642e-10
engine.cpp( 83:16 ): Rotation: pitch: -0.090583876, yaw: 0.048077635, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.07078025, yaw: 0.057282146, roll: -2.3321317e-10
engine.cpp( 83:16 ): Rotation: pitch: -0.042715598, yaw: 0.06908504, roll: -2.3338736e-10
engine.cpp( 83:16 ): Rotation: pitch: 0.015142069, yaw: 0.089243576, roll: 5.844023e-11
engine.cpp( 83:16 ): Rotation: pitch: 0.045025792, yaw: 0.09396207, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: 0.072400436, yaw: 0.09480006, roll: 2.3388083e-10
engine.cpp( 83:16 ): Rotation: pitch: 0.1008445, yaw: 0.08978051, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: 0.12377371, yaw: 0.08111216, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: 0.14556178, yaw: 0.067704104, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: 0.16074923, yaw: 0.054349653, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: 0.17358729, yaw: 0.036795538, roll: -2.3298835e-10
engine.cpp( 83:16 ): Rotation: pitch: 0.18134464, yaw: 0.021013364, roll: -1.1644101e-10
engine.cpp( 83:16 ): Rotation: pitch: 0.18736076, yaw: -0.0016838089, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: 0.18814456, yaw: -0.020234019, roll: 2.328783e-10
engine.cpp( 83:16 ): Rotation: pitch: 0.18339005, yaw: -0.04456605, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: 0.17361163, yaw: -0.06775488, roll: 4.6673226e-10
engine.cpp( 83:16 ): Rotation: pitch: 0.16401532, yaw: -0.08348216, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: 0.14975716, yaw: -0.09885864, roll: -4.67946e-10
engine.cpp( 83:16 ): Rotation: pitch: 0.13543746, yaw: -0.106439635, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: 0.12072313, yaw: -0.107529595, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: 0.107914105, yaw: -0.10413129, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: 0.08970572, yaw: -0.09432679, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: 0.06600291, yaw: -0.074527964, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: 0.052975956, yaw: -0.060458843, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: 0.03620281, yaw: -0.038968246, roll: 5.8251876e-11
engine.cpp( 83:16 ): Rotation: pitch: 0.017727206, yaw: -0.010974914, roll: 7.2763965e-12
engine.cpp( 83:16 ): Rotation: pitch: 0.0012766308, yaw: 0.020532122, roll: -9.096864e-13
engine.cpp( 83:16 ): Rotation: pitch: -0.010758401, yaw: 0.04964011, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.017184105, yaw: 0.080930494, roll: 5.839881e-11
engine.cpp( 83:16 ): Rotation: pitch: -0.017440913, yaw: 0.100191206, roll: -5.850104e-11
engine.cpp( 83:16 ): Rotation: pitch: -0.009611627, yaw: 0.12591599, roll: 5.867217e-11
engine.cpp( 83:16 ): Rotation: pitch: 0.0034542913, yaw: 0.14564821, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: 0.022703456, yaw: 0.1646184, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: 0.04254588, yaw: 0.17775355, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: 0.05990976, yaw: 0.18656906, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: 0.08201236, yaw: 0.19524223, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: 0.09929527, yaw: 0.20021759, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: 0.12036378, yaw: 0.2032274, roll: -9.508916e-10
engine.cpp( 83:16 ): Rotation: pitch: 0.13835818, yaw: 0.20266505, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: 0.154194, yaw: 0.19695376, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: 0.16787384, yaw: 0.18718246, roll: -9.478796e-10
engine.cpp( 83:16 ): Rotation: pitch: 0.17861049, yaw: 0.17286697, roll: -1.8908264e-09
engine.cpp( 83:16 ): Rotation: pitch: 0.18646401, yaw: 0.1539102, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: 0.1909357, yaw: 0.12624155, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: 0.19121516, yaw: 0.08935396, roll: 9.350529e-10
engine.cpp( 83:16 ): Rotation: pitch: 0.18436965, yaw: 0.004196092, roll: -2.9104087e-11
engine.cpp( 83:16 ): Rotation: pitch: 0.17232122, yaw: -0.03823548, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: 0.1616085, yaw: -0.06474939, roll: -4.6663917e-10
engine.cpp( 83:16 ): Rotation: pitch: 0.14202209, yaw: -0.10168379, roll: -4.68079e-10
engine.cpp( 83:16 ): Rotation: pitch: 0.119927205, yaw: -0.13021134, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: 0.09431139, yaw: -0.14983197, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: 0.068937674, yaw: -0.1595911, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: 0.0423586, yaw: -0.16238888, roll: 2.3593463e-10
engine.cpp( 83:16 ): Rotation: pitch: 0.014173288, yaw: -0.15736577, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.006776018, yaw: -0.14539476, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.02689687, yaw: -0.1239325, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.04620288, yaw: -0.095952764, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.062119093, yaw: -0.058814954, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.07310997, yaw: -0.017468302, roll: 5.821655e-11
engine.cpp( 83:16 ): Rotation: pitch: -0.078420416, yaw: 0.02697173, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.075193286, yaw: 0.077799, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.059845224, yaw: 0.12822834, roll: -4.6951604e-10
engine.cpp( 83:16 ): Rotation: pitch: -0.03470023, yaw: 0.17748143, roll: -2.3654642e-10
engine.cpp( 83:16 ): Rotation: pitch: -0.0019474514, yaw: 0.22087884, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: 0.030437522, yaw: 0.25007838, roll: -2.4030583e-10
engine.cpp( 83:16 ): Rotation: pitch: 0.058803942, yaw: 0.26068267, roll: -9.638882e-10
engine.cpp( 83:16 ): Rotation: pitch: 0.07968634, yaw: 0.25746995, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: 0.10678689, yaw: 0.23567781, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: 0.12303317, yaw: 0.20842595, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: 0.13718711, yaw: 0.15807062, roll: 9.430802e-10
engine.cpp( 83:16 ): Rotation: pitch: 0.14112645, yaw: 0.09819213, roll: -4.6791526e-10
engine.cpp( 83:16 ): Rotation: pitch: 0.13134849, yaw: -0.004895888, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: 0.10984979, yaw: -0.11434377, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: 0.08524539, yaw: -0.2077881, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: 0.059813485, yaw: -0.28327218, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: 0.041276652, yaw: -0.31981617, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: 0.028407646, yaw: -0.32985404, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: 0.017914029, yaw: -0.32093444, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: 0.0046168617, yaw: -0.27453, roll: 6.047219e-11
engine.cpp( 83:16 ): Rotation: pitch: -0.005023556, yaw: -0.18803407, roll: -2.962603e-11
engine.cpp( 83:16 ): Rotation: pitch: -0.020664541, yaw: -0.009279965, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.019844955, yaw: 0.16556463, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.013122745, yaw: 0.321576, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.006670332, yaw: 0.40975896, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.0036249126, yaw: 0.44242796, roll: 6.4409325e-11
engine.cpp( 83:16 ): Rotation: pitch: -0.0036249126, yaw: 0.43627694, roll: 6.4223384e-11
engine.cpp( 83:16 ): Rotation: pitch: -0.0041627325, yaw: 0.40104973, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.008163317, yaw: 0.2580956, roll: -1.2040335e-10
engine.cpp( 83:16 ): Rotation: pitch: -0.009555285, yaw: 0.18794033, roll: -5.925099e-11
engine.cpp( 83:16 ): Rotation: pitch: -0.009555285, yaw: 0.07422297, roll: -2.9184183e-11
engine.cpp( 83:16 ): Rotation: pitch: -0.010113291, yaw: -0.05272344, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.0109515665, yaw: -0.2312763, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.011511596, yaw: -0.25563747, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.01231635, yaw: -0.2524185, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.014979951, yaw: -0.22125436, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.01888511, yaw: -0.13506183, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.019684743, yaw: -0.048168745, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.01995884, yaw: 0.060373664, roll: -5.83139e-11
engine.cpp( 83:16 ): Rotation: pitch: -0.02079819, yaw: 0.12864079, roll: -1.1738524e-10
engine.cpp( 83:16 ): Rotation: pitch: -0.02133939, yaw: 0.14000595, roll: -1.175657e-10
engine.cpp( 83:16 ): Rotation: pitch: -0.023233082, yaw: 0.12918484, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.024018576, yaw: 0.089910224, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.023490302, yaw: 0.026781633, roll: 2.911427e-11
engine.cpp( 83:16 ): Rotation: pitch: -0.019330781, yaw: -0.07942479, roll: -5.839174e-11
engine.cpp( 83:16 ): Rotation: pitch: -0.015877062, yaw: -0.15514089, roll: -1.1783048e-10
engine.cpp( 83:16 ): Rotation: pitch: -0.013123024, yaw: -0.21490362, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.011805525, yaw: -0.2286056, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.010142723, yaw: -0.21752022, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.008047645, yaw: -0.17614241, roll: -5.9122464e-11
engine.cpp( 83:16 ): Rotation: pitch: -0.006094464, yaw: -0.05950965, roll: 1.457772e-11
engine.cpp( 83:16 ): Rotation: pitch: -0.004137703, yaw: 0.068797916, roll: 1.458642e-11
engine.cpp( 83:16 ): Rotation: pitch: -0.002800519, yaw: 0.15972644, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.00027968944, yaw: 0.32778174, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -5.379843e-07, yaw: 0.35402194, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.00027001157, yaw: 0.34782407, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.0005495121, yaw: 0.311489, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.0019458103, yaw: 0.23357555, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.0032702973, yaw: 0.15145738, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.00437361, yaw: 0.07450127, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.0046336185, yaw: 0.038620062, roll: -7.281387e-12
engine.cpp( 83:16 ): Rotation: pitch: -0.004633619, yaw: 0.026040373, roll: -3.6392126e-12
engine.cpp( 83:16 ): Rotation: pitch: -0.004633619, yaw: 0.029704344, roll: 7.279169e-12
engine.cpp( 83:16 ): Rotation: pitch: -0.005471665, yaw: 0.057359856, roll: 1.4575887e-11
engine.cpp( 83:16 ): Rotation: pitch: -0.0077064545, yaw: 0.12607962, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.009573733, yaw: 0.18289831, roll: 5.919499e-11
engine.cpp( 83:16 ): Rotation: pitch: -0.012494958, yaw: 0.23707375, roll: -2.3953042e-10
engine.cpp( 83:16 ): Rotation: pitch: -0.015532391, yaw: 0.2784933, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.01736136, yaw: 0.29129606, roll: 2.430706e-10
engine.cpp( 83:16 ): Rotation: pitch: -0.018757017, yaw: 0.28990042, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.021168163, yaw: 0.27543354, roll: -2.4195038e-10
engine.cpp( 83:16 ): Rotation: pitch: -0.029033769, yaw: 0.23689207, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.040776484, yaw: 0.19483677, roll: -4.746418e-10
engine.cpp( 83:16 ): Rotation: pitch: -0.052468512, yaw: 0.17089593, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.056665, yaw: 0.16865781, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.06281002, yaw: 0.17173032, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.071710005, yaw: 0.1793215, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.0810959, yaw: 0.18817106, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.09665894, yaw: 0.20455317, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.10817886, yaw: 0.21581131, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.1200715, yaw: 0.22689308, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.13264816, yaw: 0.23779285, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.15490597, yaw: 0.25638467, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.163019, yaw: 0.26345092, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.17223722, yaw: 0.2723898, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.17903785, yaw: 0.2820676, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.19282573, yaw: 0.3071109, roll: -1.9540742e-09
engine.cpp( 83:16 ): Rotation: pitch: -0.1959547, yaw: 0.31858367, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.19903387, yaw: 0.33481938, roll: 0
